"Stimuli.ID","type","file","action","transcription","X","sex","timeInFile","speakerID","swTranscription","er","responseType","responseSample","contextSample"
1,"Statement",3182,"statement","and now that i have my eyes corrected to the point that i can see the delicate part of china painting i do enjoy it",NA,"F",15319,"spkr1381","and now that i have my eyes corrected to the point that i can see the delicate part of china painting i do enjoy it",0,"none","none","ST 1"
1,"Initial",3182,"yn_q","now do you work outside of the home",NA,"F",87887,"spkr1357","oh that sounds marvelous now do you work outside of the home",25,"none","none","IN 1"
1,"Q1",3182,"wh_q","how did you ever get into that that",NA,"F",25137,"spkr1357","how did you ever get into that that sounds so interesting",22,"wh","wh 1","NA 1"
1,"Q2",3182,"yn_q","do you have any hobbies",NA,"F",1320,"spkr1357","do you have any hobbies",0,"other","other 1","NA 1"
1,"Non-Q1",3182,"statement","we're in a sub I'm in a suberb of Cleveland",NA,"F",161534,"spkr1357","we in the suburb i in the suburb of Cleveland",2,"wh","wh 1","NA 1"
1,"Non-Q2",3182,"answer","yes I do",NA,"F",1320,"spkr1381","yes i do",0,"other","other 1","NA 1"
2,"Statement",3223,"statement","and uh you know there so there only a few that i that i like to watch routinely",NA,"M",25993,"spkr1171","and uh you know there so there only a few that i that i like to watch routinely",0,"none","none","ST 2"
2,"Initial",3223,"yn_q","so you gonna watch a game tonight",NA,"M",160595,"spkr1171","so you gonna watch a game tonight",0,"none","none","IN 2"
2,"Q1",3223,"wh_q","what kind do you like to watch",NA,"F",30337,"spkr1377","what kind do you like to watch",0,"wh","wh 2","NA 2"
2,"Q2",3223,"yn_q","so do you do you have a favorite for the series or anything",NA,"M",163313,"spkr1171","so do you do you have a favorite for the series or anything",0,"other","other 2","NA 2"
2,"Non-Q1",3223,"statement","probably the pirates",NA,"F",166900,"spkr1377","uh probably the Pirates",3,"wh","wh 2","NA 2"
2,"Non-Q2",3223,"statement","well so many of them now eem",NA,"F",239121,"spkr1377","well it so many of them now um you know it it just seems like they feel like they have to stick that stuff in and and uh you know i you know i i an adult and i have adult tastes now but i do need that",9,"other","other 2","NA 2"
22,"Q2",3223,"yn_q","so do you do you have a favourite for the series or anything",NA,"M",163313,"spkr1171","so do you do you have a favorite for the series or anything",1,"other","other 22","NA 22"
3,"Statement",3254,"statement","so i do uh we do go there that much",NA,"F",174999,"spkr1305","so i do uh we do go there that much",0,"none","none","ST 3"
3,"Initial",3254,"yn_q","yes do you have children",NA,"F",6279,"spkr1324","yes do you have children",0,"none","none","IN 3"
3,"Q1",3254,"wh_q","where do you go if you like to have a nice meal out or a big meal",NA,"F",180079,"spkr1324","where do you go if you like to have a nice meal out or a big meal",0,"wh","wh 3","NA 3"
3,"Q2",3254,"yn_q","you ever been to Houston on Beltline",NA,"F",204644,"spkr1324","you ever been to Houston on Beltline",0,"other","other 3","NA 3"
3,"Non-Q1",3254,"statement","well i think our i i never have liked to cook food",NA,"F",264228,"spkr1305","well i think our i i never have liked to cook food but i think it all began eating out when we had uh the boys in in different uh baseball",9,"wh","wh 3","NA 3"
3,"Non-Q2",3254,"statement","because we are eating out probably five",NA,"F",115566,"spkr1305","just because we eating out probably five nights a week",15,"other","other 3","NA 3"
4,"Statement",3311,"statement","um generally we just go on family vacations to Arizona my grandparents live there that generally our usual summer vacation",NA,"F",34100,"spkr1389","um generally we just go on family vacations to Arizona my grandparents live there that generally our usual summer vacation",0,"none","none","ST 4"
4,"Initial",3311,"yn_q","anyway so we supposed to be talking about places to go and you have not been to Europe do you go to school",NA,"F",209194,"spkr1419","anyway so we supposed to be talking about places to go and you have not been to Europe do you go to school",0,"none","none","IN 4"
4,"Q1",3311,"wh_q","where in Arizona",NA,"F",42664,"spkr1419","where in Arizona",0,"wh","wh 4","NA 4"
4,"Q2",3311,"yn_q","around christmas time",NA,"F",86018,"spkr1389","around Christmas time",0,"other","other 4","NA 4"
4,"Non-Q1",3311,"appreciation","wow",NA,"F",84300,"spkr1389","wow",0,"wh","wh 4","NA 4"
4,"Non-Q2",3311,"statement","right now i am getting around sixty bucks a month",NA,"F",198715,"spkr1389","like right now i getting about sixty bucks a month free products so i worked there about a year",4,"other","other 4","NA 4"
5,"Statement",3377,"statement","i do enjoy playing",NA,"M",36328,"spkr1422","and i do enjoy playing",4,"none","none","ST 5"
5,"Initial",3377,"yn_q","that's some cold golf too isn't it",NA,"M",225100,"spkr1422","that some cold golf too is it",5,"none","none","IN 5"
5,"Q1",3377,"wh_q","what your handicap",NA,"M",38049,"spkr1426","what your handicap",0,"wh","wh 5","NA 5"
5,"Q2",3377,"yn_q","do you have long waits uh to get on the course",NA,"M",198339,"spkr1422","yes we do as a matter of fact it it uh it only been that way in the last five years",3,"other","other 5","NA 5"
5,"Non-Q1",3377,"statement","well I wish that's all we had",NA,"M",243644,"spkr1426","well i wish that all we had",2,"wh","wh 5","NA 5"
5,"Non-Q2",3377,"statement","quite a while ago it's probbaly up to 20 now if I",NA,"M",52830,"spkr1426","yeah i was down at about_1 four or five quite awhile ago it probably up there to twenty now if if i was ever to start again",20,"other","other 5","NA 5"
6,"Statement",3387,"opinion","they make a decision based on consti[tuency]- constituency",NA,"M",102294,"spkr1350","they make a decision based on constituency constituency",3,"none","none","ST 6"
6,"Initial",3387,"yn_q","so uh you talk about jeopardizing the future would you be against any deficit spending",NA,"M",173745,"spkr1353","so uh you talk about jeopardizing the future would you be against any deficit spending",0,"none","none","IN 6"
6,"Q1",3387,"wh_q","[but] wha[t]- what practical steps could o[ne]- could one take",NA,"M",229943,"spkr1353","but what what practical steps could one could one take um",5,"wh","wh 6","NA 6"
6,"Q2",3387,"yn_q","is it your expectation that that would raise the total revenues collected or or lower them or what",NA,"M",295791,"spkr1353","that that a good idea idea and is it your expectation that that would raise the total revenues collected or or lower them or what",31,"other","other 6","NA 6"
6,"Non-Q1",3387,"statement","well but everybody will say that he is for that",NA,"M",239784,"spkr1353","well but everybody will say that he is for that uh and",7,"wh","wh 6","NA 6"
